times=0,loss=100000.0000,mae=100000.000000,mse=100000.000000,lr=0.010000,decay=0.000002
Saved times=1,loss=0.0459,lr=0.010000,decay=0.000002,mae=0.166222,mse=0.045910,overfit rate = 0%
times=2,loss=0.0459,lr=0.009977,decay=0.000002,mae=0.349127,mse=0.175190,overfit rate = 5%
times=3,loss=0.0459,lr=0.009953,decay=0.000002,mae=0.185604,mse=0.054858,overfit rate = 5%
Saved times=4,loss=0.0412,lr=0.009930,decay=0.000002,mae=0.139041,mse=0.041206,overfit rate = 0%
times=5,loss=0.0412,lr=0.009907,decay=0.000002,mae=0.160865,mse=0.043105,overfit rate = 5%
Saved times=6,loss=0.0383,lr=0.009883,decay=0.000002,mae=0.136281,mse=0.038362,overfit rate = 0%
Saved times=7,loss=0.0353,lr=0.009860,decay=0.000002,mae=0.129332,mse=0.035397,overfit rate = 0%
Saved times=8,loss=0.0331,lr=0.009837,decay=0.000002,mae=0.129939,mse=0.033117,overfit rate = 0%
times=9,loss=0.0331,lr=0.009814,decay=0.000002,mae=0.154454,mse=0.042449,overfit rate = 20%
times=10,loss=0.0331,lr=0.009791,decay=0.000002,mae=0.135903,mse=0.034830,overfit rate = 5%
Saved times=11,loss=0.0304,lr=0.009768,decay=0.000002,mae=0.128927,mse=0.030415,overfit rate = 0%
times=12,loss=0.0304,lr=0.009745,decay=0.000002,mae=0.136509,mse=0.035665,overfit rate = 20%
Saved times=13,loss=0.0280,lr=0.009723,decay=0.000002,mae=0.124496,mse=0.028021,overfit rate = 0%
times=14,loss=0.0280,lr=0.009700,decay=0.000002,mae=0.151884,mse=0.036282,overfit rate = 30%
times=15,loss=0.0280,lr=0.009677,decay=0.000002,mae=0.196285,mse=0.057744,overfit rate = 65%
times=16,loss=0.0280,lr=0.009655,decay=0.000002,mae=0.128809,mse=0.029633,overfit rate = 5%
Saved times=17,loss=0.0246,lr=0.009632,decay=0.000002,mae=0.115494,mse=0.024602,overfit rate = 0%
times=18,loss=0.0246,lr=0.009609,decay=0.000002,mae=0.115949,mse=0.026702,overfit rate = 5%
times=19,loss=0.0246,lr=0.009587,decay=0.000002,mae=0.122453,mse=0.030725,overfit rate = 25%
times=20,loss=0.0246,lr=0.009564,decay=0.000002,mae=0.120624,mse=0.026038,overfit rate = 5%
times=21,loss=0.0246,lr=0.009542,decay=0.000002,mae=0.116473,mse=0.026252,overfit rate = 10%
times=22,loss=0.0246,lr=0.009520,decay=0.000002,mae=0.134409,mse=0.032064,overfit rate = 40%
Saved times=23,loss=0.0238,lr=0.009497,decay=0.000002,mae=0.118210,mse=0.023890,overfit rate = 0%
Saved times=24,loss=0.0220,lr=0.009475,decay=0.000002,mae=0.107790,mse=0.022038,overfit rate = 0%
times=25,loss=0.0220,lr=0.009453,decay=0.000002,mae=0.115068,mse=0.024798,overfit rate = 15%
Saved times=26,loss=0.0210,lr=0.009431,decay=0.000002,mae=0.104262,mse=0.021050,overfit rate = 0%
times=27,loss=0.0210,lr=0.009409,decay=0.000002,mae=0.136612,mse=0.036013,overfit rate = 85%
times=28,loss=0.0210,lr=0.009387,decay=0.000002,mae=0.109900,mse=0.023017,overfit rate = 10%
times=29,loss=0.0210,lr=0.009365,decay=0.000002,mae=0.108426,mse=0.022638,overfit rate = 10%
times=30,loss=0.0210,lr=0.009343,decay=0.000002,mae=0.114226,mse=0.027726,overfit rate = 50%
times=31,loss=0.0210,lr=0.009321,decay=0.000002,mae=0.112627,mse=0.026650,overfit rate = 45%
times=32,loss=0.0210,lr=0.009299,decay=0.000002,mae=0.112647,mse=0.027646,overfit rate = 55%
times=33,loss=0.0210,lr=0.009277,decay=0.000002,mae=0.123461,mse=0.024738,overfit rate = 30%
